iter	RMSE
215	35.27040103
216	35.26691748
217	35.26080115
218	35.25181294
219	35.24682549
220	35.24054866
221	35.22782173
222	35.22147083
223	35.21827861
224	35.21007278
225	35.2029193
226	35.20065595
227	35.19042785
228	35.18380619
229	35.17369741
230	35.1658034
231	35.16064721
232	35.15203605
233	35.14914606
234	35.14095551
235	35.13333839
236	35.12834801
237	35.12262905
238	35.11623588
239	35.11000402
240	35.10134188
241	35.09807637
242	35.09653247
243	35.08729496
244	35.08582048
245	35.08251451
246	35.07312089
247	35.06769449
248	35.05877783
249	35.05187475
250	35.04920306
251	35.04526244
252	35.03314108
253	35.02517687
254	35.019586
255	35.01152574
256	35.00384289
257	34.9999766
258	34.99835419
259	34.99061465
260	34.98559362
261	34.97720747
262	34.9742445
263	34.96950927
264	34.96479638
265	34.95546925
266	34.9507565
267	34.94412104
268	34.94185181
269	34.93867068
270	34.92893
271	34.92646793
272	34.920602
273	34.91697673
274	34.90913669
275	34.90563864
276	34.90075779
277	34.89676758
278	34.88759496
279	34.88103551
280	34.87413053
281	34.86377388
282	34.8568546
283	34.84901778
284	34.8461852
285	34.84036716
286	34.83434667
287	34.8246236
288	34.82051341
289	34.81094152
290	34.80587399
291	34.79932021
292	34.79382771
293	34.78769937
294	34.77734706
295	34.76958973
296	34.76452475
297	34.75526981
298	34.7530542
299	34.74986217
300	34.74572912
301	34.73748884
302	34.73214627
303	34.7242326
304	34.71961945
305	34.71541806
306	34.70749676
307	34.70068729
308	34.69569735
309	34.68948292
310	34.68729441
311	34.68118669
312	34.67410942
313	34.66639358
314	34.66364355
315	34.65672673
316	34.65041275
317	34.64413469
318	34.63870456
319	34.62831395
320	34.6212418
321	34.61193644
322	34.60569229
323	34.60159735
324	34.59455634
325	34.59071757
326	34.58310437
327	34.57729532
328	34.57281484
329	34.56377374
330	34.56084767
331	34.55800786
332	34.55609238
333	34.550941
334	34.54478287
335	34.53770517
336	34.53114382
337	34.52443378
338	34.52129319
339	34.51739048
340	34.51047721
341	34.50564689
342	34.50165579
343	34.4951852
344	34.48936373
345	34.4811478
346	34.47577133
347	34.47118924
348	34.46894794
349	34.46090257
350	34.45885724
351	34.45080645
352	34.44596143
353	34.44098079
354	34.43780759
355	34.43388515
356	34.42967464
357	34.42263341
358	34.41141431
359	34.40088616
360	34.39594531
361	34.38968922
362	34.38148363
363	34.37259684
364	34.36636788
365	34.35663631
366	34.34704861
367	34.34512105
368	34.33428228
369	34.32388747
370	34.32097355
371	34.3167176
372	34.31164682
373	34.30107509
374	34.29624678
375	34.29415967
376	34.28862336
377	34.28256241
378	34.27928806
379	34.27684542
380	34.27022867
381	34.26416707
382	34.25859334
383	34.25398005
384	34.24369818
385	34.23921044
386	34.23386153
387	34.22641446
388	34.21995627
389	34.2152647
390	34.20856862
391	34.20316133
392	34.19405109
393	34.19076338
394	34.18262675
395	34.17432296
396	34.16691438
397	34.16011858
398	34.15351993
399	34.14796921
400	34.14227083
401	34.13626153
402	34.12584846
403	34.12216948
404	34.11228832
405	34.10786341
406	34.10246016
407	34.09876689
408	34.0897837
409	34.08870048
410	34.08052987
411	34.07397249
412	34.06805201
413	34.06324514
414	34.05973163
415	34.0569126
416	34.04904065
417	34.04430395
418	34.03811402
419	34.03036757
420	34.02538053
421	34.02393782
422	34.0158597
423	34.00675132
424	33.99693218
425	33.98969308
426	33.98641995
427	33.98102682
428	33.97775731
429	33.97073287
430	33.96963386
431	33.96279448
432	33.95973751
433	33.95617546
434	33.94752996
435	33.94191626
436	33.9355857
437	33.9297003
438	33.92517082
439	33.92149638
440	33.91570386
441	33.91320693
442	33.90700133
443	33.8986484
444	33.89145647
445	33.88401942
446	33.87750054
447	33.87000379
448	33.86236111
449	33.85418912
450	33.85100234
451	33.849078
452	33.83827556
453	33.83377213
454	33.8239904
455	33.82146435
456	33.81711517
457	33.81175276
458	33.8102397
459	33.80706675
460	33.80217349
461	33.79539961
462	33.79090359
463	33.77904173
464	33.77459088
465	33.76782905
466	33.7628642
467	33.75525747
468	33.74999494
469	33.74350948
470	33.74163463
471	33.73938361
472	33.73539929
473	33.73031714
474	33.72762632
475	33.72114135
476	33.71403609
477	33.7058424
478	33.70252961
479	33.69911696
480	33.69524889
481	33.69040501
482	33.68732816
483	33.68423252
484	33.67770592
485	33.67462682
486	33.67039767
487	33.6669997
488	33.66015465
489	33.65714226
490	33.65192352
491	33.64835811
492	33.64105923
493	33.63709101
494	33.63144877
495	33.62511742
496	33.61894662
497	33.6176054
498	33.61195
499	33.6084895
500	33.60094007
501	33.59945263
502	33.59629308
503	33.59318088
504	33.58757269
505	33.58232741
506	33.57849596
507	33.57756399
508	33.57239963
509	33.56386097
510	33.56164413
511	33.55700646
512	33.55337013
513	33.54743663
514	33.53925356
515	33.53741976
516	33.53474954
517	33.52989154
518	33.52399667
519	33.5204981
520	33.51926441
521	33.51365166
522	33.51188104
523	33.50730124
524	33.5007897
525	33.4947167
526	33.48664843
527	33.48257158
528	33.47657372
529	33.46706427
530	33.46407438
531	33.45899409
532	33.45405543
533	33.44902382
534	33.44678251
535	33.43997186
536	33.43726241
537	33.42979692
538	33.42458292
539	33.42061542
540	33.41382175
541	33.40824572
542	33.40327199
543	33.39760225
544	33.39344008
545	33.38678978
546	33.3795447
547	33.37082455
548	33.36623162
549	33.36396127
550	33.36177811
551	33.35732465
552	33.35182552
553	33.34356041
554	33.34101749
555	33.33151413
556	33.32573755
557	33.31576943
558	33.30827969
559	33.3038454
560	33.29892841
561	33.29422677
562	33.28834885
563	33.28064778
564	33.27622532
565	33.27534212
566	33.27134267
567	33.26499547
568	33.26195685
569	33.25743847
570	33.25601063
571	33.25062372
572	33.24588306
573	33.2421088
574	33.23578263
575	33.23235554
576	33.22773336
577	33.2207701
578	33.21526282
579	33.20718767
580	33.20075923
581	33.19651398
582	33.18776359
583	33.18553752
584	33.18356153
585	33.17853512
586	33.17343609
587	33.1641594
588	33.15850748
589	33.15605523
590	33.15022724
591	33.14434127
592	33.14003082
593	33.13528483
594	33.13204963
595	33.13180015
596	33.12898148
597	33.12273264
598	33.11551333
599	33.11023192
600	33.10559715
601	33.10404223
602	33.09738196
603	33.0941944
604	33.0857538
605	33.07980046
606	33.07296993
607	33.07256451
608	33.06983659
609	33.06532834
610	33.05746287
611	33.05224408
612	33.04763739
613	33.04154409
614	33.03891435
615	33.03277085
616	33.02899285
617	33.02119076
618	33.01440816
619	33.00741267
620	33.00549416
621	32.99903785
622	32.99064552
623	32.98512702
624	32.9817407
625	32.97776876
626	32.97191906
627	32.97030641
628	32.96481665
629	32.95820539
630	32.95301991
631	32.94869254
632	32.94582407
633	32.94326157
634	32.93863856
635	32.93056234
636	32.92529441
637	32.91908637
638	32.91899927
639	32.914354
640	32.91060427
641	32.90709854
642	32.90436722
643	32.90108417
644	32.8968392
645	32.89047642
646	32.88855886
647	32.88443588
648	32.87991582
649	32.87730526
650	32.87127
651	32.86505576
652	32.85942262
653	32.85089785
654	32.84734112
655	32.84320408
656	32.84050409
657	32.83744168
658	32.83090503
659	32.82578811
660	32.81940782
661	32.81390512
662	32.81210954
663	32.81053007
664	32.80580262
665	32.80316365
666	32.79862707
667	32.7920267
668	32.78766514
669	32.78280625
670	32.78024358
671	32.77423864
672	32.77179673
673	32.76231572
674	32.75566313
675	32.74786963
676	32.74499581
677	32.74198384
678	32.73509481
679	32.72922587
680	32.72433394
681	32.7177311
682	32.71535906
683	32.71439923
684	32.70616412
685	32.70336041
686	32.70168889
687	32.6957474
688	32.69046855
689	32.68777335
690	32.68083669
691	32.67391482
692	32.67164945
693	32.66870163
694	32.66472961
695	32.66166541
696	32.65941833
697	32.65630733
698	32.65378797
699	32.64758277
700	32.64204335
701	32.63995092
702	32.638287
703	32.63549956
704	32.63334444
705	32.63086389
706	32.62657622
707	32.61992872
708	32.6184772
709	32.61496231
710	32.61093486
711	32.60830092
712	32.60325888
713	32.59931604
714	32.59845947
715	32.59440079
716	32.59049954
717	32.58817486
718	32.58286443
719	32.57971261
720	32.57611571
721	32.57275223
722	32.56734646
723	32.56321002
724	32.56044241
725	32.55532378
726	32.55168473
727	32.54949001
728	32.54669935
729	32.54268709
730	32.53784237
731	32.53675298
732	32.53128902
733	32.52807958
734	32.52518913
735	32.52075418
736	32.51771671
737	32.5111807
738	32.50619506
739	32.50346198
740	32.50118801
741	32.49488014
742	32.49040239
743	32.48582193
744	32.47898172
745	32.47619275
746	32.47256108
747	32.4694043
748	32.46524727
749	32.46357402
750	32.46029181
751	32.45440708
752	32.44873927
753	32.44728871
754	32.44329564
755	32.43863963
756	32.43197812
757	32.42886839
758	32.4266728
759	32.42429216
760	32.41769235
761	32.41226353
762	32.40590718
763	32.40230366
764	32.39916166
765	32.39459181
766	32.38916441
767	32.3851766
768	32.38275672
769	32.3789765
770	32.37519273
771	32.37309051
772	32.36538759
773	32.36233689
774	32.35869033
775	32.35272705
776	32.35006289
777	32.34761747
778	32.34648246
779	32.34464495
780	32.34175102
781	32.33900499
782	32.33656606
783	32.33087449
784	32.32776618
785	32.32443304
786	32.31963154
787	32.31271614
788	32.31231313
789	32.30603512
790	32.29987333
791	32.29761082
792	32.2908179
793	32.2881607
794	32.28283138
795	32.2765369
796	32.27248328
797	32.27027599
798	32.26823106
799	32.26261709
800	32.25957295
801	32.25769556
802	32.25258469
803	32.25044918
804	32.24743737
805	32.24205413
806	32.2384758
807	32.23532852
808	32.23440855
809	32.23051119
810	32.2272604
811	32.22469742
812	32.22205689
813	32.21631113
814	32.21328612
815	32.21193867
816	32.20384959
817	32.19965054
818	32.19306842
819	32.19118245
820	32.18190567
821	32.17813274
822	32.17225326
823	32.16883041
824	32.1651036
825	32.16411562
826	32.15989591
827	32.1515758
828	32.14718901
829	32.14220354
830	32.14041482
831	32.13703288
832	32.13147529
833	32.12718025
834	32.12267949
835	32.122011
836	32.11691672
837	32.11426403
838	32.10854749
839	32.10558066
840	32.10330901
841	32.09940573
842	32.09570118
843	32.09435776
844	32.0924035
845	32.08976687
846	32.08790082
847	32.08338197
848	32.08266966
849	32.07816946
850	32.07355895
851	32.06816945
852	32.06729577
853	32.06458862
854	32.06248988
855	32.05756488
856	32.05353242
857	32.04629942
858	32.04245054
859	32.03859697
860	32.03412418
861	32.03271364
862	32.02771109
863	32.02356693
864	32.01800222
865	32.01445886
866	32.01170717
867	32.00821795
868	32.0025885
869	31.99766668
870	31.99113713
871	31.98781467
872	31.98171746
873	31.97571734
874	31.97378205
875	31.97090554
876	31.96585154
877	31.95827401
878	31.95413887
879	31.94899098
880	31.94491113
881	31.93943825
882	31.9337118
883	31.93004652
884	31.92482509
885	31.92026396
886	31.91905102
887	31.91189176
888	31.91117912
889	31.90485869
890	31.9002009
891	31.89494252
892	31.89228612
893	31.88635255
894	31.87905604
895	31.87379614
896	31.86759407
897	31.86533398
898	31.85869699
899	31.85313654
900	31.85087351
901	31.84738621
902	31.84426405
903	31.84260986
904	31.83942001
905	31.83534409
906	31.83154222
907	31.82752329
908	31.82493038
909	31.82332268
910	31.81664988
911	31.81615259
912	31.81186931
913	31.80972773
914	31.80329439
915	31.80285955
916	31.80202442
917	31.795969
918	31.79147776
919	31.78741125
920	31.78268491
921	31.77619236
922	31.77506482
923	31.77222243
924	31.76802187
925	31.76336238
926	31.75697873
927	31.7546533
928	31.75122915
929	31.74813761
930	31.74088585
931	31.73865973
932	31.73765454
933	31.7329435
934	31.73031529
935	31.72625287
936	31.72165137
937	31.71463498
938	31.711424
939	31.70799494
940	31.70537733
941	31.70018201
942	31.6967696
943	31.69112079
944	31.68811162
945	31.6856012
946	31.68038264
947	31.67530378
948	31.67189846
949	31.66965737
950	31.66763204
951	31.66170109
952	31.65805779
953	31.65616979
954	31.65107036
955	31.64869418
956	31.64083903
957	31.63613385
958	31.63118996
959	31.6279269
960	31.62553888
961	31.62264098
962	31.61741579
963	31.61216999
964	31.60929534
965	31.60771009
966	31.60508354
967	31.60247443
968	31.59762363
969	31.59455125
970	31.5903008
971	31.58657114
972	31.58315509
973	31.58044687
974	31.57562483
975	31.57323879
976	31.56672986
977	31.56161559
978	31.55659621
979	31.55529686
980	31.55086023
981	31.54548167
982	31.54194485
983	31.53938243
984	31.53717253
985	31.53348355
986	31.52799739
987	31.52415538
988	31.51625882
989	31.51270569
990	31.5080921
991	31.50418173
992	31.49866302
993	31.49351294
994	31.48969715
995	31.48822399
996	31.48633387
997	31.48104685
998	31.47611678
999	31.47013901
